Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.3004229068756104,0.77,0.433,0.009,0.006,0.004,0.015,0.0,0.0,0.012,0.044,0.001,0.0,0.019,0.003,0.005,0.005,0.444
1.2803726196289062,0.79,0.432,0.008,0.005,0.006,0.01,0.001,0.001,0.014,0.033,0.0,0.002,0.016,0.001,0.01,0.009,0.452
1.3039920330047607,0.812,0.446,0.003,0.005,0.007,0.008,0.001,0.0,0.013,0.041,0.002,0.001,0.012,0.002,0.01,0.002,0.447
1.2641172409057617,0.796,0.464,0.009,0.009,0.004,0.012,0.001,0.0,0.013,0.03,0.002,0.003,0.021,0.003,0.007,0.001,0.421
1.336090087890625,0.806,0.432,0.006,0.007,0.001,0.006,0.0,0.0,0.01,0.043,0.0,0.0,0.015,0.004,0.006,0.004,0.466
1.278200626373291,0.8,0.46,0.005,0.009,0.001,0.007,0.0,0.001,0.01,0.039,0.002,0.001,0.015,0.0,0.011,0.004,0.435
1.4107811450958252,0.828,0.427,0.008,0.008,0.001,0.008,0.001,0.0,0.004,0.036,0.001,0.001,0.012,0.001,0.008,0.002,0.482
1.2496440410614014,0.782,0.44,0.008,0.003,0.003,0.011,0.001,0.0,0.011,0.046,0.0,0.001,0.017,0.005,0.008,0.005,0.441
1.294011116027832,0.81,0.434,0.007,0.003,0.002,0.009,0.001,0.0,0.014,0.04,0.0,0.0,0.009,0.004,0.012,0.001,0.464
1.3273394107818604,0.832,0.475,0.007,0.003,0.003,0.008,0.0,0.0,0.012,0.033,0.0,0.002,0.008,0.0,0.007,0.006,0.436
1.3912851810455322,0.81,0.447,0.003,0.007,0.003,0.01,0.0,0.001,0.014,0.036,0.001,0.001,0.01,0.001,0.008,0.007,0.451
1.3612072467803955,0.8,0.425,0.009,0.006,0.004,0.006,0.0,0.0,0.018,0.034,0.0,0.0,0.013,0.003,0.01,0.004,0.468
1.3921620845794678,0.786,0.418,0.003,0.01,0.002,0.009,0.0,0.001,0.015,0.042,0.006,0.0,0.012,0.0,0.009,0.007,0.466
1.2803504467010498,0.78,0.436,0.009,0.006,0.003,0.012,0.001,0.0,0.015,0.043,0.004,0.0,0.01,0.005,0.01,0.005,0.441
1.3916165828704834,0.772,0.428,0.008,0.009,0.001,0.015,0.001,0.0,0.015,0.037,0.0,0.0,0.013,0.0,0.012,0.005,0.456
1.2991673946380615,0.812,0.452,0.006,0.01,0.002,0.011,0.001,0.0,0.007,0.031,0.001,0.001,0.015,0.001,0.009,0.005,0.448
1.321246862411499,0.774,0.416,0.015,0.005,0.003,0.005,0.0,0.0,0.009,0.05,0.0,0.002,0.015,0.0,0.008,0.006,0.466
1.359593152999878,0.804,0.48,0.007,0.005,0.0,0.007,0.001,0.001,0.015,0.042,0.001,0.001,0.008,0.003,0.01,0.004,0.415
1.2985148429870605,0.792,0.464,0.006,0.006,0.004,0.013,0.0,0.0,0.011,0.034,0.0,0.0,0.017,0.0,0.012,0.005,0.428
1.273319959640503,0.782,0.389,0.006,0.012,0.005,0.008,0.0,0.001,0.015,0.039,0.002,0.0,0.018,0.0,0.008,0.003,0.494
1.360649824142456,0.796,0.422,0.006,0.006,0.005,0.013,0.0,0.0,0.009,0.037,0.0,0.0,0.014,0.001,0.008,0.009,0.47
1.240454912185669,0.81,0.436,0.005,0.004,0.002,0.007,0.0,0.0,0.013,0.037,0.001,0.001,0.015,0.0,0.009,0.005,0.465
1.3754522800445557,0.8,0.451,0.011,0.008,0.001,0.009,0.002,0.0,0.01,0.04,0.0,0.001,0.01,0.004,0.009,0.003,0.441
1.286433219909668,0.784,0.434,0.009,0.004,0.003,0.016,0.002,0.0,0.013,0.039,0.002,0.0,0.01,0.0,0.013,0.004,0.451
1.387608289718628,0.828,0.449,0.011,0.005,0.003,0.005,0.0,0.002,0.008,0.029,0.0,0.0,0.015,0.001,0.007,0.006,0.459
1.3682637214660645,0.804,0.426,0.004,0.006,0.002,0.017,0.0,0.0,0.013,0.035,0.0,0.0,0.014,0.005,0.007,0.002,0.469
1.3149113655090332,0.782,0.419,0.016,0.01,0.004,0.011,0.002,0.0,0.012,0.026,0.001,0.0,0.012,0.005,0.013,0.009,0.46
1.3477838039398193,0.806,0.439,0.002,0.005,0.001,0.006,0.0,0.001,0.015,0.045,0.001,0.001,0.013,0.002,0.006,0.005,0.458
1.365022897720337,0.78,0.443,0.01,0.009,0.005,0.014,0.0,0.0,0.009,0.031,0.0,0.0,0.02,0.0,0.011,0.006,0.442
1.3709347248077393,0.8,0.441,0.006,0.009,0.004,0.007,0.0,0.0,0.015,0.038,0.002,0.0,0.01,0.004,0.012,0.003,0.449
1.1957945823669434,0.822,0.429,0.006,0.004,0.004,0.01,0.0,0.001,0.013,0.037,0.0,0.0,0.011,0.001,0.005,0.003,0.476
1.5069921016693115,0.806,0.432,0.006,0.006,0.002,0.007,0.001,0.0,0.009,0.039,0.001,0.001,0.015,0.002,0.013,0.002,0.464
1.2736270427703857,0.766,0.417,0.005,0.005,0.006,0.012,0.0,0.001,0.018,0.047,0.001,0.0,0.015,0.0,0.011,0.004,0.458
1.2653491497039795,0.792,0.41,0.008,0.007,0.002,0.008,0.0,0.001,0.012,0.043,0.001,0.001,0.014,0.002,0.007,0.005,0.479
1.3541216850280762,0.784,0.434,0.007,0.007,0.007,0.009,0.001,0.0,0.014,0.044,0.001,0.001,0.015,0.001,0.008,0.004,0.447
1.342850685119629,0.804,0.423,0.012,0.005,0.005,0.011,0.003,0.0,0.018,0.03,0.001,0.003,0.01,0.003,0.009,0.003,0.464
1.376173973083496,0.786,0.467,0.011,0.004,0.001,0.01,0.0,0.0,0.006,0.044,0.0,0.002,0.017,0.002,0.006,0.009,0.421
1.3139619827270508,0.806,0.44,0.006,0.005,0.003,0.014,0.0,0.001,0.01,0.032,0.001,0.003,0.017,0.002,0.009,0.004,0.453
1.3830599784851074,0.796,0.428,0.004,0.008,0.001,0.016,0.003,0.0,0.013,0.036,0.002,0.001,0.015,0.002,0.007,0.003,0.461
1.2169604301452637,0.79,0.441,0.009,0.002,0.001,0.012,0.0,0.0,0.016,0.04,0.0,0.001,0.012,0.002,0.008,0.006,0.45
1.2615768909454346,0.814,0.425,0.003,0.004,0.003,0.013,0.0,0.0,0.012,0.034,0.001,0.001,0.012,0.001,0.01,0.005,0.476
1.330712080001831,0.788,0.446,0.008,0.005,0.002,0.012,0.0,0.0,0.007,0.046,0.001,0.001,0.013,0.003,0.01,0.005,0.441
1.328641653060913,0.816,0.462,0.006,0.004,0.004,0.01,0.0,0.0,0.006,0.036,0.002,0.0,0.014,0.003,0.009,0.007,0.437
